,Year,Name,Last,First,Byear,Bmonth,Bday,No.,Height (cm),Weight (kg),Throws,Bats
45,2024,,INFIELDERS,,,Born,,No.,Ht.(cm),Wt.(kg),T,B
46,2024,Yuto Akihiro,Akihiro,Yuto, 2002,Sep,17,55,200,100,R,L
47,2024,Yuta Izuguchi,Izuguchi,Yuta, 1999,May,17,35,178,80,R,L
48,2024,Makoto Kadowaki,Kadowaki,Makoto, 2001,Jan,24,5,171,76,R,L
49,2024,Hirokazu Kikuta,Kikuta,Hirokazu, 2001,Jul,23,60,182,94,R,R
50,2024,Daiki Masuda,Masuda,Daiki, 1993,Jul,29,0,172,68,R,R
51,2024,Riku Masuda,Masuda,Riku, 2000,Jun,17,61,179,88,R,R
52,2024,Ayumu Nakata,Nakata,Ayumu, 2004,Jun,27,95,172,77,R,R
53,2024,Raito Nakayama,Nakayama,Raito, 2002,Apr,12,40,182,82,R,L
54,2024,Kazuma Okamoto,Okamoto,Kazuma, 1996,Jun,30,25,186,100,R,R
55,2024,Hayato Sakamoto,Sakamoto,Hayato, 1988,Dec,14,6,186,86,R,R
56,2024,Estamy Urena,Urena,Estamy, 1999,May,27,98,183,79,R,R
57,2024,Akihiro Wakabayashi,Wakabayashi,Akihiro, 1993,Aug,26,37,180,82,R,S
58,2024,Naoki Yoshikawa,Yoshikawa,Naoki, 1995,Feb,8,2,177,78,R,L
59,2024,Dai Yuasa,Yuasa,Dai, 2000,Jan,24,00,172,73,R,R
60,2024,,OUTFIELDERS,,,Born,,No.,Ht.(cm),Wt.(kg),T,B
61,2024,Shogo Asano,Asano,Shogo, 2004,Nov,24,51,171,86,R,R
62,2024,Hisayoshi Chono,Chono,Hisayoshi, 1984,Dec,6,7,180,85,R,R
63,2024,Masaya Hagio,Hagio,Masaya, 2000,Dec,28,12,180,85,R,R
64,2024,Elier Hernandez,Hernandez,Elier, 1994,Nov,21,42,185,89,R,R
65,2024,Takayuki Kajitani,Kajitani,Takayuki, 1988,Aug,28,13,180,90,R,L
66,2024,Yoshihiro Maru,Maru,Yoshihiro, 1989,Apr,11,8,177,94,R,L
67,2024,Seiya Matsubara,Matsubara,Seiya, 1995,Jan,26,59,173,74,R,L
68,2024,Rougned Odor,Odor,Rougned, 1994,Feb,3,23,180,90,R,L
69,2024,Yuki Okada,Okada,Yuki, 2000,Jan,19,38,183,84,R,L
70,2024,Louis Okoye,Okoye,Louis, 1997,Jul,21,50,185,90,R,R
71,2024,Shunsuke Sasaki,Sasaki,Shunsuke, 1999,Nov,6,44,174,80,R,L
72,2024,Shinnosuke Shigenobu,Shigenobu,Shinnosuke, 1993,Apr,17,43,173,74,R,L
73,2024,Soichiro Tateoka,Tateoka,Soichiro, 1990,May,18,23,181,82,R,L
