,Name,G,PO,A,E,DP,Fld%,RF/G,Notes
4,Shunta Tanaka,1.0,1.0,1.0,0.0,0.0,1.0,2.0,
5,Dai Yuasa,1.0,0.0,0.0,0.0,0.0,,0.0,
-1,Outfield,,,,,,,,
0,Yoshihiro Maru,64.0,109.0,1.0,2.0,0.0,0.982,1.72,
1,Gerardo Parra,38.0,39.0,0.0,0.0,0.0,1.0,1.03,
2,Shinnosuke Shigenobu,37.0,29.0,0.0,0.0,0.0,1.0,0.78,
3,Yoshiyuki Kamei,34.0,42.0,2.0,1.0,0.0,0.978,1.29,
4,Zelous Wheeler,34.0,32.0,0.0,1.0,0.0,0.97,0.94,
5,Seiya Matsubara,30.0,40.0,1.0,1.0,0.0,0.976,1.37,
6,Daikan Yoh,23.0,14.0,0.0,0.0,0.0,1.0,0.61,
7,Akihiro Wakabayashi,17.0,10.0,0.0,0.0,0.0,1.0,0.59,
8,Daiki Masuda,16.0,6.0,0.0,0.0,0.0,1.0,0.38,
9,Shingo Ishikawa,11.0,3.0,1.0,0.0,0.0,1.0,0.36,
10,Israel Mota,4.0,0.0,0.0,0.0,0.0,,0.0,
11,Daiki Yoshikawa,3.0,0.0,0.0,0.0,0.0,,0.0,
12,Shuhei Katoh,1.0,0.0,0.0,0.0,0.0,,0.0,
-1,Pitching,,,,,,,,
0,Kota Nakagawa,25.0,0.0,4.0,0.0,1.0,1.0,0.16,
1,Yohei Kagiya,24.0,1.0,2.0,0.0,0.0,1.0,0.13,
2,Ryusei Ohe,21.0,0.0,3.0,0.0,0.0,1.0,0.14,
3,Kan Ohtake,20.0,1.0,3.0,0.0,0.0,1.0,0.2,
4,Yuhei Takanashi,19.0,1.0,5.0,0.0,0.0,1.0,0.32,
5,Kyosuke Takagi,17.0,0.0,2.0,0.0,0.0,1.0,0.12,
6,Ryosuke Miyaguni,16.0,1.0,3.0,0.0,1.0,1.0,0.25,
7,Rubby De La Rosa,14.0,1.0,0.0,0.0,0.0,1.0,0.07,
8,Toyoki Tanaka,14.0,2.0,2.0,0.0,0.0,1.0,0.29,
9,Hirokazu Sawamura,13.0,2.0,1.0,0.0,0.0,1.0,0.23,
10,Toshiki Sakurai,12.0,1.0,5.0,0.0,0.0,1.0,0.5,
11,Tomoyuki Sugano,11.0,6.0,12.0,0.0,1.0,1.0,1.64,
12,Thyago Vieira,11.0,0.0,1.0,0.0,0.0,1.0,0.09,
13,Cristopher Crisostomo,10.0,0.0,15.0,0.0,1.0,1.0,1.5,
14,Takahiro Fujioka,10.0,0.0,2.0,0.0,0.0,1.0,0.2,
15,Shosei Togo,10.0,1.0,8.0,0.0,0.0,1.0,0.9,
16,Kazuto Taguchi,9.0,1.0,8.0,0.0,0.0,1.0,1.0,
17,Hayato Horioka,6.0,0.0,1.0,1.0,0.0,0.5,0.17,
18,Angel Sanchez,6.0,0.0,4.0,0.0,0.0,1.0,0.67,
19,Nobutaka Imamura,5.0,1.0,8.0,0.0,0.0,1.0,1.8,
20,Takuya Kuwahara,5.0,0.0,4.0,0.0,1.0,1.0,0.8,
21,Shohei Numata,5.0,0.0,3.0,0.0,0.0,1.0,0.6,
22,Seishu Hatake,4.0,1.0,3.0,0.0,0.0,1.0,1.0,
23,Daisuke Naoe,2.0,0.0,2.0,0.0,0.0,1.0,1.0,
24,Nattino Diplan,1.0,0.0,0.0,0.0,0.0,,0.0,
25,Yuri Furukawa,1.0,0.0,0.0,0.0,0.0,,0.0,
26,Daiki Masuda,1.0,0.0,0.0,0.0,0.0,,0.0,
